#TYPE System.Management.Automation.PSCustomObject
"FolderName","AD Group or User","Permissions","Acces Control","Inherited"
"C:\unit7asiggment\Bryan_RB","CREATOR GROUP","Modify, Synchronize","Allow","False"
"C:\unit7asiggment\Bryan_RB","NT AUTHORITY\SYSTEM","FullControl","Allow","False"
"C:\unit7asiggment\Bryan_RB","BUILTIN\Administrators","FullControl","Allow","False"
"C:\unit7asiggment\Bryan_RB","DESKTOP-J3JNGH0\Bryan_RB","Write, ReadAndExecute, Synchronize","Allow","False"
"C:\unit7asiggment\entiry_compary","DESKTOP-J3JNGH0\sales.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","False"
"C:\unit7asiggment\entiry_compary","DESKTOP-J3JNGH0\training.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","False"
"C:\unit7asiggment\entiry_compary","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\Miriam_RB","CREATOR GROUP","Modify, Synchronize","Allow","False"
"C:\unit7asiggment\Miriam_RB","NT AUTHORITY\SYSTEM","FullControl","Allow","False"
"C:\unit7asiggment\Miriam_RB","BUILTIN\Administrators","FullControl","Allow","False"
"C:\unit7asiggment\Miriam_RB","DESKTOP-J3JNGH0\Miriam_RB","Write, ReadAndExecute, Synchronize","Allow","False"
"C:\unit7asiggment\Ryley_RB","CREATOR GROUP","Modify, Synchronize","Allow","False"
"C:\unit7asiggment\Ryley_RB","NT AUTHORITY\SYSTEM","FullControl","Allow","False"
"C:\unit7asiggment\Ryley_RB","BUILTIN\Administrators","FullControl","Allow","False"
"C:\unit7asiggment\Ryley_RB","DESKTOP-J3JNGH0\Ryley_RB","Write, ReadAndExecute, Synchronize","Allow","False"
"C:\unit7asiggment\Sofia_RB","CREATOR GROUP","Modify, Synchronize","Allow","False"
"C:\unit7asiggment\Sofia_RB","NT AUTHORITY\SYSTEM","FullControl","Allow","False"
"C:\unit7asiggment\Sofia_RB","BUILTIN\Administrators","FullControl","Allow","False"
"C:\unit7asiggment\Sofia_RB","DESKTOP-J3JNGH0\Sofia_RB","Write, ReadAndExecute, Synchronize","Allow","False"
"C:\unit7asiggment\Tory_RB","CREATOR GROUP","Modify, Synchronize","Allow","False"
"C:\unit7asiggment\Tory_RB","NT AUTHORITY\SYSTEM","FullControl","Allow","False"
"C:\unit7asiggment\Tory_RB","BUILTIN\Administrators","FullControl","Allow","False"
"C:\unit7asiggment\Tory_RB","DESKTOP-J3JNGH0\Tory_RB","Write, ReadAndExecute, Synchronize","Allow","False"
"C:\unit7asiggment\Bryan_RB\created_Bryan","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\Bryan_RB\created_Bryan","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\Bryan_RB\created_Bryan","DESKTOP-J3JNGH0\Bryan_RB","Write, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\Bryan_RB\created_Bryan","DESKTOP-J3JNGH0\None","Modify, Synchronize","Allow","True"
"C:\unit7asiggment\Bryan_RB\created_Bryan","CREATOR GROUP","Modify, Synchronize","Allow","True"
"C:\unit7asiggment\Bryan_RB\New Text Document.txt","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\Bryan_RB\New Text Document.txt","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\Bryan_RB\New Text Document.txt","DESKTOP-J3JNGH0\Bryan_RB","Write, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\Bryan_RB\New Text Document.txt","DESKTOP-J3JNGH0\None","Modify, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB","DESKTOP-J3JNGH0\Miriam_RB","ReadAndExecute","Deny","False"
"C:\unit7asiggment\entiry_compary\key_Account_RB","DESKTOP-J3JNGH0\training.department","Write","Deny","False"
"C:\unit7asiggment\entiry_compary\key_Account_RB","DESKTOP-J3JNGH0\training.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB","DESKTOP-J3JNGH0\sales.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\key_Account_RB","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\Sales_Department_RB","NT AUTHORITY\SYSTEM","FullControl","Allow","False"
"C:\unit7asiggment\entiry_compary\Sales_Department_RB","BUILTIN\Administrators","FullControl","Allow","False"
"C:\unit7asiggment\entiry_compary\Sales_Department_RB","DESKTOP-J3JNGH0\sales.department","WriteAttributes, ReadAndExecute, Synchronize","Allow","False"
"C:\unit7asiggment\entiry_compary\bryan.txt","DESKTOP-J3JNGH0\training.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\bryan.txt","DESKTOP-J3JNGH0\sales.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\bryan.txt","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\bryan.txt","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\New Text Document (2) - Copy.txt","DESKTOP-J3JNGH0\training.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\New Text Document (2) - Copy.txt","DESKTOP-J3JNGH0\sales.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\New Text Document (2) - Copy.txt","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\New Text Document (2) - Copy.txt","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\New Text Document (2).txt","DESKTOP-J3JNGH0\training.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\New Text Document (2).txt","DESKTOP-J3JNGH0\sales.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
"C:\unit7asiggment\entiry_compary\New Text Document (2).txt","BUILTIN\Administrators","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\New Text Document (2).txt","NT AUTHORITY\SYSTEM","FullControl","Allow","True"
"C:\unit7asiggment\entiry_compary\sofia - Copy.txt","DESKTOP-J3JNGH0\training.department","CreateFiles, WriteExtendedAttributes, WriteAttributes, ReadAndExecute, Synchronize","Allow","True"
